Rank,State,County-equivalent,Per capita,Median,Median,Population,Number of
,,,income,household,family,,households
,,,,income,income,,
2328,Illinois,McDonough,"$20,042 ","$36,031 ","$54,058 ","32,549","12,620"
2329,Arkansas,Conway,"$20,040 ","$35,225 ","$46,002 ","21,235","8,154"
2330,Michigan,Arenac,"$20,039 ","$38,874 ","$45,479 ","15,753","6,363"
2331,Missouri,Dade,"$20,034 ","$35,483 ","$44,175 ","7,734","3,175"
2332,Idaho,Clark,"$20,032 ","$33,200 ","$33,897 ",751,304
2333,Indiana,Switzerland,"$20,019 ","$44,143 ","$48,689 ","10,534","4,099"
2334,New Mexico,Rio Arriba,"$20,014 ","$40,250 ","$47,363 ","40,218","14,783"
2335,Ohio,Ashtabula,"$20,011 ","$40,516 ","$50,218 ","100,835","38,952"
2336,Kentucky,Muhlenberg,"$20,008 ","$38,105 ","$44,874 ","31,427","11,869"
2337,Georgia,Pierce,"$20,001 ","$39,067 ","$47,747 ","18,774","6,970"
2338,Tennessee,Giles,"$19,998 ","$38,495 ","$47,011 ","29,214","11,766"
2339,Kansas,Ford,"$19,994 ","$51,178 ","$57,380 ","34,217","11,103"
2340,Kentucky,McLean,"$19,984 ","$38,833 ","$47,436 ","9,524","3,770"
2341,Georgia,Thomas,"$19,983 ","$34,035 ","$42,835 ","44,692","17,377"
2342,Texas,Concho,"$19,976 ","$51,411 ","$58,654 ","4,070",857
2343,Utah,Millard,"$19,972 ","$49,238 ","$59,266 ","12,543","4,101"
2344,Louisiana,Catahoula,"$19,970 ","$36,165 ","$44,627 ","10,332","3,767"
2345,Nebraska,Grant,"$19,968 ","$44,167 ","$45,865 ",614,246
2346,Oklahoma,Johnston,"$19,967 ","$36,192 ","$39,876 ","10,982","4,248"
2347,Texas,Howard,"$19,965 ","$45,612 ","$58,661 ","35,297","11,010"
2348,Missouri,Webster,"$19,955 ","$44,596 ","$50,033 ","36,274","12,668"
2349,Michigan,Branch,"$19,947 ","$41,856 ","$50,701 ","44,398","15,862"
2350,Georgia,Madison,"$19,939 ","$42,549 ","$50,554 ","28,044","9,732"
2351,California,Lassen,"$19,931 ","$53,107 ","$65,616 ","34,018","9,945"
2352,Kansas,Wilson,"$19,929 ","$38,917 ","$48,174 ","9,269","3,791"
2353,Kentucky,Laurel,"$19,923 ","$36,570 ","$43,075 ","59,178","22,931"
2354,Arkansas,Pope,"$19,918 ","$40,453 ","$47,074 ","62,248","22,603"
2355,Illinois,Montgomery,"$19,917 ","$41,952 ","$54,529 ","29,878","11,192"
2356,Oklahoma,Love,"$19,910 ","$43,260 ","$50,761 ","9,496","3,378"
2357,Louisiana,Acadia,"$19,910 ","$37,587 ","$46,159 ","61,847","22,527"
2358,Idaho,Lewis,"$19,910 ","$36,000 ","$48,894 ","3,851","1,660"
2359,North Carolina,Madison,"$19,902 ","$38,598 ","$49,806 ","20,842","8,207"
2360,West Virginia,Logan,"$19,901 ","$36,999 ","$47,700 ","36,442","14,699"
2361,Virginia,Martinsville City,"$19,900 ","$28,116 ","$40,875 ","13,808","5,995"
2362,Texas,Karnes,"$19,899 ","$42,862 ","$55,603 ","14,916","4,497"
2363,Missouri,Daviess,"$19,890 ","$42,393 ","$51,500 ","8,347","3,151"
2364,Arkansas,Little River,"$19,880 ","$39,673 ","$48,406 ","12,992","5,315"
2365,New Mexico,Otero,"$19,880 ","$39,263 ","$46,828 ","64,767","23,945"
2366,Idaho,Boundary,"$19,877 ","$37,003 ","$44,390 ","10,866","4,144"
2367,Louisiana,Webster,"$19,871 ","$35,071 ","$44,436 ","41,039","15,980"
2368,Oklahoma,Muskogee,"$19,868 ","$38,502 ","$48,251 ","70,657","26,802"
2369,Illinois,Pulaski,"$19,867 ","$33,717 ","$45,764 ","6,035","2,419"
2370,Texas,Potter,"$19,861 ","$37,951 ","$46,243 ","121,526","42,751"
2371,Montana,Mineral,"$19,859 ","$33,033 ","$45,331 ","4,219","1,629"
2372,Utah,Wayne,"$19,858 ","$41,458 ","$48,125 ","2,760",970
2373,Florida,Baker,"$19,852 ","$49,236 ","$58,850 ","27,069","8,216"
2374,Virginia,Henry,"$19,852 ","$34,984 ","$43,284 ","53,451","22,690"
2375,Florida,Franklin,"$19,843 ","$38,328 ","$48,661 ","11,554","4,294"
2376,Kentucky,Washington County,"$19,837 ","$40,845 ","$48,578 ","11,774","4,480"
2377,Alabama,Randolph,"$19,830 ","$35,213 ","$45,076 ","22,819","9,013"
2378,Kentucky,Grant,"$19,829 ","$46,159 ","$51,866 ","24,685","8,334"
2379,Texas,Hardeman,"$19,829 ","$36,377 ","$45,750 ","4,087","1,745"
2380,Arkansas,Desha,"$19,822 ","$28,680 ","$39,937 ","12,774","5,305"
2381,Indiana,Sullivan,"$19,821 ","$43,510 ","$55,748 ","21,321","7,764"
2382,Oklahoma,Craig,"$19,820 ","$39,236 ","$50,231 ","14,869","5,603"
2383,Tennessee,Greene,"$19,801 ","$35,545 ","$43,400 ","68,679","28,677"
2384,Kentucky,Livingston,"$19,795 ","$40,313 ","$47,075 ","9,467","3,569"
2385,Georgia,Haralson,"$19,789 ","$39,993 ","$49,077 ","28,594","10,806"
2386,Kansas,Lyon,"$19,789 ","$38,981 ","$51,106 ","33,624","13,170"
2387,West Virginia,Mineral,"$19,788 ","$31,163 ","$48,910 ","28,015","11,180"
2388,Georgia,Spalding,"$19,783 ","$41,534 ","$50,251 ","64,011","22,997"
2389,Michigan,Houghton,"$19,783 ","$35,430 ","$52,409 ","36,494","14,029"
2390,North Carolina,Graham,"$19,780 ","$33,903 ","$39,580 ","8,762","3,462"
2391,Indiana,Starke,"$19,773 ","$40,126 ","$46,205 ","23,267","8,964"
2392,Kentucky,Christian,"$19,773 ","$38,904 ","$45,583 ","74,169","25,899"
2393,Texas,Moore,"$19,770 ","$51,181 ","$53,653 ","22,029","6,820"
2394,Arkansas,Ashley,"$19,761 ","$35,683 ","$45,612 ","21,645","8,656"
2395,North Carolina,Lenoir,"$19,760 ","$35,770 ","$45,306 ","59,277","23,569"
2396,Oklahoma,Okmulgee,"$19,753 ","$39,156 ","$48,720 ","39,747","15,124"
2397,Texas,Dallam,"$19,752 ","$40,895 ","$44,301 ","6,854","2,375"
2398,Oklahoma,Coal,"$19,752 ","$34,867 ","$44,888 ","5,927","2,328"
2399,Kentucky,Barren,"$19,745 ","$38,873 ","$51,272 ","42,504","16,584"
2400,Tennessee,McMinn,"$19,744 ","$39,410 ","$48,576 ","52,338","20,313"
2401,Texas,Liberty,"$19,740 ","$47,228 ","$54,581 ","76,013","24,844"
2402,Washington,Grant,"$19,738 ","$45,949 ","$52,848 ","90,202","30,012"
2403,Montana,Powell,"$19,736 ","$40,802 ","$49,342 ","7,052","2,411"
2404,Mississippi,Forrest,"$19,736 ","$36,726 ","$46,827 ","75,991","27,822"
2405,Virginia,Russell,"$19,735 ","$33,872 ","$43,459 ","28,646","11,191"
2406,Missouri,Vernon,"$19,734 ","$38,679 ","$48,014 ","20,990","7,999"
2407,Alaska,Yukon-Koyukuk Census Area,"$19,729 ","$34,710 ","$46,875 ","5,656","2,056"
2408,South Carolina,Saluda,"$19,725 ","$38,514 ","$44,705 ","19,895","7,020"
2409,Michigan,Alger,"$19,717 ","$37,586 ","$46,083 ","9,497","3,607"
2410,Missouri,Benton,"$19,717 ","$32,951 ","$42,896 ","19,008","8,225"
2411,Illinois,Perry,"$19,716 ","$42,078 ","$53,689 ","22,182","7,982"
2412,Alabama,Pike,"$19,715 ","$33,090 ","$46,574 ","32,977","12,959"
2413,Virginia,Emporia City,"$19,710 ","$32,155 ","$41,429 ","5,773","2,488"
2414,Missouri,Pettis,"$19,709 ","$38,580 ","$49,064 ","42,146","16,212"
2415,Texas,Castro,"$19,708 ","$36,402 ","$40,595 ","8,046","2,588"
2416,Colorado,Lincoln,"$19,703 ","$41,910 ","$51,875 ","5,442","1,845"
2417,North Carolina,Burke,"$19,701 ","$37,263 ","$49,127 ","90,591","34,664"
2418,Missouri,Audrain,"$19,687 ","$43,013 ","$53,564 ","25,584","9,327"
2419,Alabama,Russell,"$19,678 ","$36,143 ","$42,730 ","55,544","21,142"
2420,Georgia,Miller,"$19,674 ","$32,260 ","$41,058 ","6,054","2,458"
2421,Texas,Caldwell,"$19,673 ","$44,152 ","$51,289 ","38,465","11,593"
2422,Arkansas,Crittenden,"$19,665 ","$37,751 ","$48,372 ","50,447","18,309"
2423,Michigan,Montmorency,"$19,661 ","$35,261 ","$42,632 ","9,598","4,128"
2424,Arkansas,Greene,"$19,652 ","$38,413 ","$48,011 ","42,580","16,603"
2425,Tennessee,Monroe,"$19,643 ","$37,595 ","$44,907 ","44,857","17,523"
2426,Georgia,Appling,"$19,643 ","$36,786 ","$44,610 ","18,354","6,934"
2427,Michigan,Ogemaw,"$19,634 ","$34,619 ","$42,137 ","21,537","8,998"
2428,Ohio,Hardin,"$19,626 ","$40,415 ","$52,144 ","31,886","11,504"
2429,North Carolina,Swain,"$19,626 ","$36,094 ","$51,589 ","14,017","5,368"
2430,Virginia,Danville City,"$19,626 ","$30,786 ","$40,768 ","42,996","18,659"
2431,New Mexico,Valencia,"$19,623 ","$42,506 ","$51,686 ","76,461","26,894"
2432,Texas,Tyler,"$19,612 ","$39,940 ","$45,162 ","21,619","8,224"
2433,Kentucky,LaRue,"$19,611 ","$39,753 ","$50,559 ","14,149","5,221"
2434,Idaho,Jefferson,"$19,598 ","$52,023 ","$56,195 ","26,389","8,058"
2435,Idaho,Minidoka,"$19,597 ","$43,266 ","$49,733 ","20,104","6,994"
2436,West Virginia,Randolph,"$19,595 ","$37,276 ","$48,547 ","29,399","11,163"
2437,Virginia,Franklin City,"$19,588 ","$31,928 ","$43,780 ","8,539","3,551"
2438,Oklahoma,Marshall,"$19,583 ","$37,319 ","$47,769 ","15,860","5,970"
2439,Kansas,Cherokee,"$19,580 ","$39,746 ","$51,748 ","21,361","7,936"
2440,Alabama,Marion,"$19,576 ","$32,888 ","$41,733 ","30,615","12,700"
2441,Mississippi,Lincoln,"$19,566 ","$36,498 ","$41,572 ","34,870","13,045"
2442,New Mexico,Doña Ana,"$19,565 ","$37,933 ","$44,518 ","211,175","73,797"
2443,Missouri,Laclede,"$19,553 ","$39,013 ","$43,826 ","35,535","13,912"
2444,North Carolina,Rutherford,"$19,551 ","$36,334 ","$42,636 ","67,403","27,214"
2445,Tennessee,Weakley,"$19,547 ","$35,273 ","$50,628 ","34,779","13,797"
2446,Tennessee,Warren,"$19,531 ","$34,641 ","$43,922 ","39,861","15,366"
2447,Missouri,Grundy,"$19,527 ","$37,964 ","$47,000 ","10,282","4,148"
2448,Mississippi,Jones,"$19,519 ","$38,074 ","$43,888 ","68,174","24,677"
2449,Minnesota,Mahnomen,"$19,517 ","$40,282 ","$47,781 ","5,475","2,058"
2450,Missouri,Polk,"$19,511 ","$39,512 ","$49,245 ","31,088","11,937"
2451,North Carolina,Alleghany,"$19,510 ","$35,170 ","$40,767 ","11,046","4,793"
2452,Washington,Franklin,"$19,503 ","$55,177 ","$57,710 ","81,835","23,445"
2453,West Virginia,Upshur,"$19,498 ","$39,381 ","$49,740 ","24,371","9,011"
2454,Texas,Polk,"$19,498 ","$37,855 ","$45,690 ","45,620","16,980"
2455,Georgia,Whitfield,"$19,497 ","$40,471 ","$45,728 ","102,556","34,450"
2456,West Virginia,Wayne,"$19,497 ","$36,964 ","$46,749 ","42,007","16,555"
2457,New Mexico,Chaves,"$19,492 ","$39,131 ","$48,169 ","65,627","23,499"
2458,Missouri,Barry,"$19,489 ","$38,710 ","$47,663 ","35,614","13,464"
2459,Colorado,Alamosa,"$19,487 ","$34,520 ","$49,889 ","15,933","5,891"
2460,Missouri,Chariton,"$19,481 ","$39,385 ","$51,356 ","7,730","2,958"
2461,Kentucky,Edmonson,"$19,481 ","$37,646 ","$47,637 ","12,148","4,766"
2462,North Carolina,Sampson,"$19,479 ","$36,496 ","$43,557 ","63,687","23,336"
2463,Arkansas,Crawford,"$19,477 ","$39,479 ","$46,113 ","61,796","23,368"
2464,Idaho,Fremont,"$19,475 ","$44,520 ","$51,964 ","13,088","4,549"
2465,Missouri,Bollinger,"$19,470 ","$37,716 ","$45,273 ","12,408","4,758"
2466,Missouri,Harrison,"$19,468 ","$37,739 ","$44,691 ","8,871","3,515"
2467,Kentucky,Union,"$19,464 ","$39,125 ","$45,143 ","15,138","5,586"
2468,Louisiana,St. Helena,"$19,457 ","$33,143 ","$40,590 ","11,062","4,130"
2469,Missouri,Moniteau,"$19,451 ","$47,118 ","$59,253 ","15,657","5,464"
2470,Tennessee,Van Buren,"$19,450 ","$33,547 ","$41,019 ","5,562","2,097"
2471,Kentucky,Johnson,"$19,445 ","$34,090 ","$41,981 ","23,377","9,154"
2472,Kentucky,Simpson,"$19,441 ","$39,546 ","$47,303 ","17,443","6,737"
2473,Arkansas,Columbia,"$19,439 ","$35,128 ","$47,472 ","24,512","9,449"
2474,Ohio,Scioto,"$19,437 ","$35,379 ","$49,280 ","78,952","29,452"
2475,Nebraska,Johnson,"$19,435 ","$42,364 ","$53,932 ","5,182","1,926"
2476,Washington,Yakima,"$19,433 ","$43,506 ","$48,946 ","244,654","79,679"
2477,Georgia,Peach,"$19,431 ","$39,844 ","$52,500 ","27,481","9,525"
2478,Kentucky,Carroll,"$19,429 ","$40,160 ","$46,281 ","10,902","4,269"
2479,Utah,Beaver,"$19,415 ","$46,660 ","$56,184 ","6,529","2,112"
2480,Louisiana,Union,"$19,412 ","$35,828 ","$48,125 ","22,576","8,532"
2481,Georgia,Treutlen,"$19,410 ","$37,894 ","$46,282 ","6,817","2,515"
2482,Alabama,Talladega,"$19,410 ","$35,439 ","$43,074 ","81,845","31,486"
2483,Georgia,Brooks,"$19,409 ","$34,419 ","$46,973 ","15,885","6,573"
2484,Ohio,Jackson,"$19,405 ","$36,356 ","$44,755 ","33,034","13,288"
2485,Tennessee,Meigs,"$19,403 ","$35,150 ","$47,672 ","11,706","4,776"
2486,Missouri,Putnam,"$19,397 ","$36,713 ","$44,309 ","4,944","2,230"
2487,Texas,Knox,"$19,396 ","$34,295 ","$45,208 ","3,731","1,557"
2488,Louisiana,St. Landry,"$19,387 ","$35,503 ","$45,574 ","83,534","30,935"
2489,Arkansas,Bradley,"$19,386 ","$30,409 ","$39,659 ","11,418","4,789"
2490,Missouri,Miller,"$19,385 ","$35,507 ","$44,911 ","24,863","10,034"
2491,Virginia,Carroll,"$19,385 ","$32,853 ","$43,349 ","29,979","12,572"
2492,Ohio,Perry,"$19,372 ","$41,446 ","$48,828 ","36,051","13,793"
2493,Arkansas,Johnson,"$19,366 ","$31,003 ","$37,119 ","25,655","10,046"
2494,Texas,Coryell,"$19,357 ","$49,819 ","$56,459 ","75,966","20,416"
2495,Indiana,LaGrange,"$19,356 ","$47,617 ","$51,922 ","37,463","11,833"
2496,Texas,Titus,"$19,356 ","$42,939 ","$50,325 ","32,360","10,725"
2497,Arkansas,Jefferson,"$19,353 ","$37,140 ","$48,562 ","75,782","28,367"
2498,Texas,Limestone,"$19,352 ","$38,823 ","$49,121 ","23,417","7,929"
2499,Kentucky,Pike,"$19,351 ","$32,961 ","$42,210 ","64,473","26,362"
2500,Ohio,Highland,"$19,348 ","$39,091 ","$46,643 ","43,395","16,918"
2501,Kansas,Bourbon,"$19,340 ","$39,591 ","$50,231 ","15,004","5,636"
2502,Virginia,Nottoway,"$19,337 ","$36,607 ","$52,837 ","15,862","5,673"
2503,Michigan,Mecosta,"$19,336 ","$39,470 ","$50,330 ","43,007","15,536"
2504,South Carolina,Hampton,"$19,332 ","$34,233 ","$42,588 ","20,840","7,470"
2505,Missouri,Shelby,"$19,331 ","$35,938 ","$48,274 ","6,274","2,597"
2506,Arkansas,Fulton,"$19,326 ","$35,522 ","$41,720 ","12,266","5,140"
2507,Missouri,Lewis,"$19,317 ","$42,071 ","$49,043 ","10,193","3,936"
2508,Florida,Columbia,"$19,306 ","$38,070 ","$45,003 ","67,568","23,604"
2509,Texas,Parmer,"$19,304 ","$44,943 ","$47,096 ","10,159","3,215"
2510,Kentucky,Fleming,"$19,304 ","$32,495 ","$45,490 ","14,435","5,539"
2511,Tennessee,Bedford,"$19,303 ","$40,759 ","$47,774 ","45,339","16,402"
2512,Georgia,Clarke,"$19,295 ","$33,060 ","$50,744 ","118,864","41,358"
2513,Kentucky,Hickman,"$19,292 ","$34,029 ","$46,549 ","4,834","1,983"
2514,Alabama,Chambers,"$19,291 ","$32,402 ","$41,040 ","34,145","13,722"
2515,Arkansas,Hot Spring,"$19,286 ","$41,193 ","$49,541 ","33,182","12,231"
20%,,,"$19,280 ",,,,
2516,Missouri,Sullivan,"$19,279 ","$36,676 ","$44,783 ","6,611","2,640"
2517,North Carolina,Columbus,"$19,275 ","$35,761 ","$45,865 ","57,761","21,758"
2518,Mississippi,Union,"$19,273 ","$38,373 ","$44,772 ","27,338","10,322"
2519,Texas,Comanche,"$19,268 ","$36,020 ","$45,503 ","13,829","5,162"
2520,Missouri,Adair,"$19,258 ","$34,733 ","$54,609 ","25,573","9,648"
2521,Oklahoma,Nowata,"$19,256 ","$39,430 ","$48,694 ","10,580","4,050"
2522,Missouri,Butler,"$19,246 ","$34,969 ","$43,135 ","42,946","17,085"
2523,California,Yuba,"$19,244 ","$44,902 ","$50,648 ","72,574","24,300"
2524,North Carolina,Chowan,"$19,240 ","$34,420 ","$43,512 ","14,782","5,945"
2525,Indiana,Jay,"$19,236 ","$40,235 ","$47,376 ","21,333","8,179"
2526,North Carolina,Caldwell,"$19,228 ","$34,357 ","$46,628 ","82,407","31,417"
2527,Texas,Jim Hogg,"$19,212 ","$36,121 ","$42,775 ","5,271","1,805"
2528,Kentucky,Carter,"$19,204 ","$36,406 ","$44,210 ","27,493","10,319"
2529,Louisiana,Jackson,"$19,188 ","$37,388 ","$45,490 ","16,217","6,090"
2530,Montana,Sanders,"$19,188 ","$32,881 ","$39,650 ","11,400","5,149"
2531,Georgia,Gordon,"$19,177 ","$40,926 ","$48,810 ","55,409","19,066"
2532,Texas,Camp,"$19,176 ","$37,079 ","$45,781 ","12,415","4,475"
2533,Idaho,Idaho County,"$19,168 ","$37,349 ","$44,962 ","16,269","6,534"
2534,Idaho,Payette,"$19,165 ","$43,649 ","$51,998 ","22,629","8,056"
2535,Georgia,Fannin,"$19,164 ","$34,239 ","$40,855 ","23,614","9,940"
2536,North Carolina,Bladen,"$19,154 ","$30,164 ","$43,210 ","34,969","14,256"
2537,South Carolina,Laurens,"$19,153 ","$37,383 ","$44,778 ","66,457","25,184"
2538,Mississippi,Alcorn,"$19,145 ","$33,600 ","$43,320 ","37,159","14,679"
2539,Kentucky,Logan,"$19,143 ","$36,590 ","$47,378 ","26,822","10,912"
2540,Nebraska,Blaine,"$19,141 ","$42,917 ","$45,625 ",586,249
2541,Tennessee,Lawrence,"$19,136 ","$37,368 ","$47,649 ","41,927","15,862"
2542,Arkansas,Franklin,"$19,135 ","$36,766 ","$43,053 ","18,063","6,769"
2543,Arkansas,Polk,"$19,116 ","$32,835 ","$38,275 ","20,540","8,069"
2544,Utah,Sevier,"$19,115 ","$46,229 ","$53,997 ","20,798","7,146"
2545,Kentucky,Grayson,"$19,115 ","$32,399 ","$41,216 ","25,833","9,897"
2546,Alabama,Cleburne,"$19,108 ","$38,019 ","$46,069 ","14,945","5,601"
2547,Virginia,Wise,"$19,107 ","$36,218 ","$46,628 ","41,154","15,406"
2548,Missouri,Iron,"$19,101 ","$36,387 ","$44,069 ","10,505","4,126"
2549,Oklahoma,McIntosh,"$19,100 ","$36,096 ","$44,470 ","20,358","8,092"
2550,Texas,Houston,"$19,090 ","$33,119 ","$46,557 ","23,365","7,889"
2551,Arkansas,Woodruff,"$19,087 ","$28,259 ","$36,902 ","7,180","3,070"
2552,Kentucky,Allen,"$19,086 ","$40,008 ","$49,378 ","20,123","8,061"
2553,Georgia,Webster,"$19,082 ","$35,718 ","$51,458 ","2,769","1,129"
2554,Colorado,Otero,"$19,078 ","$33,848 ","$41,943 ","18,817","7,427"
2555,California,Del Norte,"$19,072 ","$37,909 ","$51,470 ","28,357","9,593"
2556,Michigan,Isabella,"$19,061 ","$36,372 ","$51,563 ","70,400","24,817"
2557,Missouri,Lawrence,"$19,060 ","$39,334 ","$47,950 ","38,488","14,817"
2558,North Carolina,Warren,"$19,052 ","$34,285 ","$44,587 ","20,792","7,731"
2559,Arkansas,Logan,"$19,046 ","$34,996 ","$46,489 ","22,221","8,233"
2560,Oklahoma,Jefferson,"$19,042 ","$34,701 ","$40,847 ","6,457","2,456"
2561,Georgia,Schley,"$19,037 ","$38,425 ","$52,391 ","5,017","1,829"
2562,South Carolina,Union,"$19,037 ","$32,556 ","$41,390 ","28,594","11,854"
2563,West Virginia,Hardy,"$19,032 ","$32,723 ","$43,097 ","13,922","5,020"
2564,South Dakota,Charles Mix,"$19,030 ","$40,102 ","$51,780 ","9,176","3,191"
2565,North Carolina,Wilkes,"$19,029 ","$33,159 ","$42,083 ","69,184","27,512"
2566,Alabama,Lamar,"$19,026 ","$36,028 ","$42,470 ","14,396","6,084"
2567,Arkansas,Montgomery,"$19,021 ","$31,345 ","$39,469 ","9,387","3,873"
2568,Kentucky,Gallatin,"$19,020 ","$43,793 ","$48,984 ","8,525","2,995"
2569,Louisiana,Grant,"$19,018 ","$39,654 ","$47,832 ","22,113","7,340"
2570,Tennessee,Carter,"$19,018 ","$31,842 ","$41,010 ","57,438","24,079"
2571,Kansas,Seward,"$19,015 ","$50,185 ","$52,529 ","23,146","7,429"
2572,Texas,Red River,"$19,014 ","$31,712 ","$42,371 ","12,709","5,052"
2573,Florida,Osceola,"$19,007 ","$43,891 ","$47,839 ","279,837","90,413"
2574,Missouri,Saline,"$19,006 ","$39,519 ","$46,731 ","23,324","8,764"
2575,Kentucky,Ohio County,"$19,005 ","$40,830 ","$44,200 ","23,955","8,715"
2576,Texas,Hall,"$19,004 ","$33,006 ","$45,593 ","3,310","1,177"
2577,Texas,Nolan,"$19,002 ","$36,806 ","$46,282 ","15,087","5,527"
2578,Georgia,Evans,"$18,998 ","$36,788 ","$46,369 ","10,902","4,067"
2579,Alabama,Winston,"$18,995 ","$32,900 ","$41,113 ","24,342","9,489"
2580,Michigan,Oceana,"$18,986 ","$40,023 ","$47,419 ","26,456","9,537"
2581,Alabama,Clarke,"$18,979 ","$29,357 ","$45,518 ","25,573","9,631"
2582,Arkansas,Ouachita,"$18,975 ","$32,015 ","$42,354 ","25,651","10,733"
2583,Missouri,Wayne,"$18,970 ","$33,159 ","$39,465 ","13,437","5,589"
2584,Michigan,Montcalm,"$18,969 ","$40,451 ","$47,435 ","63,234","23,400"
2585,Texas,Coleman,"$18,967 ","$31,373 ","$37,887 ","8,744","3,478"
2586,Georgia,Heard,"$18,964 ","$39,909 ","$49,381 ","11,708","4,321"
2587,Texas,Crosby,"$18,959 ","$38,187 ","$42,379 ","6,056","2,164"
2588,Louisiana,Bienville,"$18,958 ","$31,543 ","$42,271 ","14,229","5,668"
2589,Kansas,Wyandotte,"$18,957 ","$39,402 ","$47,025 ","158,348","57,291"
2590,Colorado,Fremont,"$18,954 ","$39,943 ","$48,623 ","46,850","16,938"
2591,Tennessee,Rhea,"$18,952 ","$36,741 ","$46,526 ","32,080","12,096"
2592,Colorado,Prowers,"$18,941 ","$34,391 ","$44,481 ","12,473","4,935"
2593,Virginia,Petersburg City,"$18,936 ","$34,424 ","$40,559 ","32,326","12,456"
2594,Arkansas,Scott,"$18,934 ","$37,448 ","$42,333 ","11,111","4,324"
2595,Georgia,Tift,"$18,933 ","$34,591 ","$41,712 ","40,537","13,691"
2596,North Carolina,McDowell,"$18,932 ","$35,297 ","$45,874 ","44,963","17,252"
2597,Mississippi,Wayne,"$18,928 ","$29,925 ","$38,502 ","20,675","8,105"
2598,Idaho,Oneida,"$18,920 ","$40,842 ","$46,802 ","4,257","1,579"
2599,Texas,Kleberg,"$18,918 ","$40,566 ","$48,275 ","32,052","11,241"
2600,Georgia,Habersham,"$18,910 ","$39,306 ","$48,610 ","43,181","14,805"
2601,Arkansas,Mississippi County,"$18,905 ","$36,428 ","$42,286 ","45,912","17,058"
2602,South Carolina,Bamberg,"$18,902 ","$31,483 ","$43,317 ","15,814","5,883"
2603,Georgia,Lowndes,"$18,897 ","$37,365 ","$49,499 ","111,334","39,722"
2604,Oklahoma,Haskell,"$18,896 ","$35,334 ","$46,474 ","12,849","4,713"
2605,Alabama,Franklin,"$18,888 ","$36,415 ","$46,536 ","31,666","12,437"
2606,Idaho,Bingham,"$18,872 ","$47,941 ","$54,323 ","45,485","14,650"
2607,Arkansas,Randolph,"$18,871 ","$34,418 ","$45,492 ","17,896","7,244"
2608,Kentucky,Marion,"$18,865 ","$38,719 ","$47,360 ","19,943","7,368"
2609,North Carolina,Montgomery,"$18,865 ","$31,830 ","$43,038 ","27,707","10,610"
2610,Mississippi,Newton,"$18,864 ","$39,190 ","$44,720 ","21,645","7,931"
2611,South Carolina,Barnwell,"$18,862 ","$35,231 ","$43,818 ","22,399","8,416"
2612,Virginia,Patrick,"$18,860 ","$34,864 ","$42,547 ","18,445","7,846"
2613,Louisiana,Allen,"$18,857 ","$38,429 ","$48,306 ","25,674","8,099"
2614,Ohio,Noble,"$18,853 ","$38,290 ","$43,146 ","14,639","4,883"
2615,Iowa,Decatur,"$18,845 ","$36,326 ","$46,275 ","8,308","3,106"
2616,Georgia,Ware,"$18,842 ","$34,572 ","$46,455 ","36,008","13,460"
2617,Arizona,Yuma,"$18,840 ","$41,595 ","$44,302 ","199,026","70,122"
2618,Michigan,Gratiot,"$18,836 ","$40,359 ","$50,893 ","42,148","14,787"
2619,Georgia,Elbert,"$18,835 ","$35,817 ","$41,387 ","19,907","7,635"
2620,Texas,Motley,"$18,828 ","$35,845 ","$40,000 ","1,182",433
2621,Georgia,Meriwether,"$18,821 ","$37,333 ","$43,597 ","21,695","8,135"
2622,Virginia,Bristol City,"$18,820 ","$32,221 ","$41,025 ","17,713","7,674"
2623,Tennessee,Chester,"$18,817 ","$41,875 ","$52,983 ","17,151","5,936"
2624,Ohio,Meigs,"$18,816 ","$35,469 ","$44,783 ","23,659","9,560"
2625,Alabama,Hale,"$18,812 ","$30,051 ","$38,048 ","15,594","5,969"
2626,Texas,Cherokee,"$18,801 ","$38,378 ","$46,797 ","50,865","17,422"
2627,Georgia,Lamar,"$18,800 ","$41,016 ","$49,741 ","18,139","6,393"
2628,Kentucky,Taylor,"$18,790 ","$36,384 ","$46,250 ","24,585","9,708"
2629,North Carolina,Martin,"$18,783 ","$35,111 ","$44,633 ","24,147","9,444"
2630,Arkansas,Van Buren,"$18,782 ","$32,517 ","$42,607 ","17,147","7,063"
2631,North Carolina,Washington County,"$18,779 ","$34,936 ","$43,636 ","12,958","5,056"
2632,South Carolina,Colleton,"$18,769 ","$33,233 ","$41,716 ","38,453","14,905"
2633,Michigan,Luce,"$18,768 ","$39,469 ","$45,950 ","6,550","2,427"
2634,Illinois,Johnson,"$18,763 ","$40,760 ","$50,796 ","12,665","4,362"
2635,Virginia,Charlotte,"$18,762 ","$33,015 ","$43,384 ","12,478","4,751"
2636,Texas,Sabine,"$18,762 ","$32,963 ","$37,827 ","10,604","4,161"
2637,North Carolina,Hoke,"$18,761 ","$45,489 ","$53,584 ","48,842","16,161"
2638,Indiana,Fayette,"$18,757 ","$37,391 ","$46,311 ","24,112","9,536"
2639,Arkansas,Madison,"$18,754 ","$35,771 ","$43,373 ","15,671","6,048"
2640,Mississippi,Yalobusha,"$18,750 ","$32,930 ","$46,360 ","12,554","4,797"
2641,Texas,Lamb,"$18,744 ","$36,727 ","$45,304 ","13,921","4,803"
2642,Texas,Trinity,"$18,730 ","$34,555 ","$44,343 ","14,460","5,091"
